Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
ESSENTIA,EQ,1,Rights 37:200 @ Premium Rs 6/-,04-May-22,17-Nov-22,1.006
EXCEL,EQ,1,Bonus 2:1,31-Dec-10,23-Jan-18,45
EXCEL,EQ,1,Bonus 1:2,23-Jan-18,28-Sep-22,15
FAME,EQ,10,Rights 58:100 @ Premium Rs.34/- Per Share,31-Dec-10,24-Jan-12,1.068
FCL,EQ,2,Bonus 1:1,31-Dec-10,12-Feb-15,10
FCL,EQ,2,Face Valus Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,12-Feb-15,11-Jun-15,5
FEDERALBNK,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,17-Oct-13,10
FEDERALBNK,EQ,2,Bonus 1:1,17-Oct-13,08-Jul-15,2
FEL,EQ,2,Rights 5:8 @ Premium Rs.101/- Per Equity Share,31-Dec-10,18-Nov-14,1.007
FELDVR,EQ,2,Rights 5:8 @ Premium Rs 48.25/- Per Equity Share,31-Dec-10,18-Nov-14,1.039
FILATEX,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,27-Jun-18,5
FINPIPE,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,15-Apr-21,5
GABRIEL,EQ,1,Bonus 1:1,31-Dec-10,12-Jul-12,2
GAEL,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,31-Dec-10,01-Oct-20,2
GAIL,EQ,10,Bonus 1:3,31-Dec-10,09-Mar-17,5.33333
GAIL,EQ,10,Bonus 1:3,09-Mar-17,27-Mar-18,4
GAIL,EQ,10,Bonus 1:1,27-Mar-18,09-Jul-19,3
GAIL,EQ,10,Bonus 1:2,09-Jul-19,06-Sep-22,1.5
GAL,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,13-Oct-16,12.09
GAL,EQ,1,Rights 110:100 @ Premium Rs 1.75/-,13-Oct-16,23-Dec-22,1.209
GALLISPAT,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,07-Aug-18,10
GANESHHOUC,EQ,10,Bonus 1:2,31-Dec-10,14-Jul-16,1.5
GANGAFORGE,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,13-Sep-21,10
GAYAPROJ,EQ,2,Rights 1:1 @ Premium Rs.110 Per Share,31-Dec-10,22-Feb-12,5.855
GAYAPROJ,EQ,2,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,22-Feb-12,10-Feb-17,5
GICRE,EQ,5,Bonus 1:1/Dividend- Rs 13.5 Per Share,31-Dec-10,12-Jul-18,2
GLAXO,EQ,10,Bonus 1:1,31-Dec-10,11-Sep-18,2
GLOBE,EQ,2,Bonus 2:1 and Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,03-Aug-21,15
GLODYNE,EQ,6,Face Value Split From Rs.10/- To Rs.6/-,31-Dec-10,10-Feb-11,1.666666667
GMBREW,EQ,10,Dividend Rs 2.50/- Per Share / Bonus 1 : 4,31-Dec-10,16-May-14,1.953125
GMBREW,EQ,10,Bonus 1:4,16-May-14,30-May-16,1.5625
GMBREW,EQ,10,Bonus 1:4,30-May-16,21-May-18,1.25
GMMPFAUDLR,EQ,2,Bonus 2:1,31-Dec-10,11-Jul-22,3
GMRINFRA,EQ,1,Rights 3:14 @ Premium Rs 14/- Per Share,31-Dec-10,11-Mar-15,1.019
GODFRYPHLP,EQ,2,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,28-Nov-14,5
GODHA,EQ,1,Bonus 1:1,31-Dec-10,20-Jan-22,2
GODREJCP,EQ,1,Bonus 1:1,31-Dec-10,22-Jun-17,3
GODREJCP,EQ,1,Bonus 1:2,22-Jun-17,12-Sep-18,1.5
GODREJIND,EQ,1,Bonus 1 : 1250,31-Dec-10,05-Jan-15,1.0008
GODREJPROP,EQ,5,Rights 8:29 @ Premium Rs.315/- Per Equity Share,31-Dec-10,19-Aug-13,2.152
GODREJPROP,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,19-Aug-13,21-Nov-13,2
GOENKA,EQ,1,Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,25-Oct-12,10
GPIL,EQ,5,Bonus 1:1 and Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,26-Oct-21,4
GPTINFRA,EQ,10,Bonus 1:1,31-Dec-10,13-Jul-17,4
GPTINFRA,EQ,10,Bonus 1:1,13-Jul-17,11-Nov-22,2
GRANULES,EQ,1,Face Value Split Rs 10 To Rs 1,31-Dec-10,23-Mar-15,10
GRASIM,EQ,2,Face Value Split From Rs 10 To Re 2,31-Dec-10,06-Oct-16,5
GRAVITA,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,25-May-12,5
GREENPLY,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,31-Dec-10,06-Jan-16,5
